docname,topic,proportion
Bible_page_388.txt,022,0.098014
GuruGranth_page_75.txt,006,0.35866
GuruGranth_page_75.txt,004,0.29718
GuruGranth_page_75.txt,012,0.294123
GuruGranth_page_75.txt,000,0.050037
Gita_page_47.txt,007,0.926021
Gita_page_47.txt,011,0.057467
Gita_page_47.txt,031,0.016512
Bible_page_2637.txt,010,1.0
GuruGranth_page_809.txt,001,0.51502
GuruGranth_page_809.txt,021,0.249251
GuruGranth_page_809.txt,012,0.220297
GuruGranth_page_809.txt,007,0.015432
Bible_page_1281.txt,013,0.412562
Bible_page_1281.txt,025,0.39717
Bible_page_1281.txt,010,0.190268
GuruGranth_page_930.txt,004,0.512601
GuruGranth_page_930.txt,012,0.24159
GuruGranth_page_930.txt,006,0.13789
GuruGranth_page_930.txt,003,0.055138
GuruGranth_page_930.txt,000,0.05278
Bible_page_1059.txt,014,0.47885
Bible_page_1059.txt,025,0.380428
Bible_page_1059.txt,032,0.076948
Bible_page_1059.txt,034,0.063774
GuruGranth_page_411.txt,004,0.666379
GuruGranth_page_411.txt,012,0.183375
GuruGranth_page_411.txt,001,0.125307
GuruGranth_page_411.txt,003,0.024939
Bible_page_2626.txt,010,0.963124
Bible_page_2626.txt,033,0.036876
GuruGranth_page_280.txt,001,0.490779
GuruGranth_page_280.txt,004,0.490491
GuruGranth_page_280.txt,025,0.01873
Bible_page_105.txt,032,0.583063
Bible_page_105.txt,014,0.416937
Taoist_page_111.txt,007,0.711405
Taoist_page_111.txt,010,0.18654
Taoist_page_111.txt,031,0.078303
Taoist_page_111.txt,000,0.023752
Taoist_page_143.txt,031,0.639006
Taoist_page_143.txt,003,0.319486
Taoist_page_143.txt,010,0.041508
Bible_page_2360.txt,011,0.369783
Bible_page_2360.txt,024,0.229616
Bible_page_2360.txt,015,0.139724
Bible_page_2360.txt,001,0.112474
Bible_page_2360.txt,000,0.081045
Bible_page_2360.txt,005,0.067358
Bible_page_1493.txt,005,0.276138
Bible_page_1493.txt,022,0.187878
Bible_page_1493.txt,000,0.163754
Bible_page_1493.txt,033,0.138002
Bible_page_1493.txt,016,0.112729
Bible_page_1493.txt,027,0.086064
Bible_page_1493.txt,006,0.035435
GuruGranth_page_5.txt,004,0.295096
GuruGranth_page_5.txt,001,0.269542
GuruGranth_page_5.txt,012,0.1742
GuruGranth_page_5.txt,007,0.161406
GuruGranth_page_5.txt,025,0.099756
Bible_page_433.txt,027,0.609916
Bible_page_433.txt,019,0.247488
Bible_page_433.txt,013,0.098824
Bible_page_433.txt,002,0.043771
Bible_page_1317.txt,002,0.547695
Bible_page_1317.txt,025,0.452305
Bible_page_2133.txt,032,0.263569
Bible_page_2133.txt,016,0.256092
Bible_page_2133.txt,024,0.211581
Bible_page_2133.txt,020,0.148077
Bible_page_2133.txt,027,0.12068
Bible_page_1279.txt,002,0.64726
Bible_page_1279.txt,000,0.200397
Bible_page_1279.txt,025,0.152343
Gita_page_25.txt,003,0.521036
Gita_page_25.txt,007,0.458202
Gita_page_25.txt,015,0.020761
Quran_page_11.txt,030,0.758089
Quran_page_11.txt,003,0.201782
Quran_page_11.txt,007,0.040129
Bible_page_2307.txt,024,0.353204
Bible_page_2307.txt,010,0.204605
Bible_page_2307.txt,001,0.177936
Bible_page_2307.txt,003,0.171422
Bible_page_2307.txt,032,0.092833
Bible_page_1130.txt,002,0.587794
Bible_page_1130.txt,022,0.24005
Bible_page_1130.txt,029,0.172156
Gita_page_113.txt,007,0.945914
Gita_page_113.txt,016,0.054086
Bible_page_2563.txt,011,0.479683
Bible_page_2563.txt,033,0.280558
Bible_page_2563.txt,020,0.239759
Quran_page_25.txt,030,0.864844
Quran_page_25.txt,003,0.099905
Quran_page_25.txt,007,0.035251
Taoist_page_130.txt,031,1.0
Bible_page_2037.txt,024,0.434886
Bible_page_2037.txt,016,0.393218
Bible_page_2037.txt,011,0.118664
Bible_page_2037.txt,000,0.053232
Bible_page_1564.txt,005,0.333342
Bible_page_1564.txt,002,0.260359
Bible_page_1564.txt,010,0.21271
Bible_page_1564.txt,013,0.193588
Bible_page_748.txt,000,0.881384
Bible_page_748.txt,002,0.118616
Bible_page_2042.txt,010,0.45368
Bible_page_2042.txt,032,0.248682
Bible_page_2042.txt,000,0.182405
